Sample_ID	Genbank accession	SRA accession	Collection Date	Host	Country*	Region	Sequence type (ST)	Biovar	Lineage	Global phylogeny	Temporal analysis	cgMLST analysis	cgMLST Complex	BAPS
2006_ZIMBABWE_GCA_000370645.1	GCA_000370645.1	NA	2006	NA	ZIMBABWE	NA	12	NA	African	yes	yes	no	NA	BAPS2
2007_ITALY_GCA_000366985.1	GCA_000366985.1	NA	2007	NA	ITALY	NA	11	NA	West Mediterranean	yes	yes	no	NA	BAPS4
2007_NA_GCA_000367025.1	GCA_000367025.1	NA	2007	NA	NA	NA	43	NA	West Mediterranean	yes	yes	no	NA	BAPS4
2007_USA_GCA_001715485.1	GCA_001715485.1	NA	2007	NA	USA	NA	11	NA	West Mediterranean	yes	yes	no	NA	BAPS5
2008_PAKISTAN_GCA_000370625.1	GCA_000370625.1	NA	2008	NA	PAKISTAN	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2010_CANADA_GCA_001715465.1	GCA_001715465.1	NA	2010	NA	CANADA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2010_CHINA_GCA_003994105.1	GCA_003994105.1	NA	2010	SHEEP	CHINA	NA	8	3	East Mediterranean	yes	no	no	NA	BAPS3
2010_CHINA_GCA_003994185.1	GCA_003994185.1	NA	2010	GOAT	CHINA	NA	8	1	East Mediterranean	yes	yes	no	NA	BAPS3
2010_GEORGIA_GCF_001856295.1	GCF_001856295.1	NA	2010	NA	GEORGIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2010_IRAQ_GCF_900236405.1	GCF_900236405.1	NA	2010	NA	IRAQ	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2010_SOMALIA_GCF_900236425.1	GCF_900236425.1	NA	2010	NA	SOMALIA	NA	12	NA	African	yes	yes	no	NA	BAPS2
2011_CHINA_GCA_000250795.2	GCA_000250795.2	NA	2011	NA	CHINA	NA	8	1	East Mediterranean	yes	no	no	NA	BAPS3
2011_CHINA_GCA_000250815.2	GCA_000250815.2	NA	2011	NA	CHINA	NA	8	1	East Mediterranean	yes	yes	no	NA	BAPS3
2011_CHINA_GCA_003994095.1	GCA_003994095.1	NA	2011	HUMAN	CHINA	NA	8	3	East Mediterranean	yes	no	no	NA	BAPS3
2011_CHINA_GCA_003994115.1	GCA_003994115.1	NA	2011	HUMAN	CHINA	NA	8	3	East Mediterranean	yes	yes	no	NA	BAPS3
2011_GEORGIA_GCF_001856365.1	GCF_001856365.1	NA	2011	NA	GEORGIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2011_IRAQ_GCF_900236355.1	GCF_900236355.1	NA	2011	NA	IRAQ	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2011_MALAYSIA_GCF_002245205.1	GCF_002245205.1	NA	2011	NA	MALAYSIA	NA	39	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2011_MALAYSIA_GCF_002245225.1	GCF_002245225.1	NA	2011	NA	MALAYSIA	NA	39	NA	East Mediterranean	yes	no	no	NA	BAPS3
2012_CHINA_GCA_003993895.1	GCA_003993895.1	NA	2012	HUMAN	CHINA	NA	8	1	East Mediterranean	yes	no	no	NA	BAPS3
2012_CHINA_GCA_003993965.1	GCA_003993965.1	NA	2012	HUMAN	CHINA	NA	8	1	East Mediterranean	yes	yes	no	NA	BAPS3
2012_ETHIOPIA_GCF_900236485.1	GCF_900236485.1	NA	2012	NA	ETHIOPIA	NA	12	NA	African	yes	yes	no	NA	BAPS2
2012_GEORGIA_GCF_001856285.1	GCF_001856285.1	NA	2012	NA	GEORGIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2012_MONGOLIA_GCA_001431745.1	GCA_001431745.1	NA	2012	NA	MONGOLIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2012_NA_GCF_900236435.1	GCF_900236435.1	NA	2012	NA	NA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2013_CHINA_GCA_003994205.1	GCA_003994205.1	NA	2013	SHEEP	CHINA	NA	8	3	East Mediterranean	yes	yes	no	NA	BAPS3
2013_NORWAY_GCF_900236385.1	GCF_900236385.1	NA	2013	HUMAN	NORWAY	NA	8	NA	East Mediterranean	no	yes	no	NA	BAPS3
2013_NORWAY_GCF_900236545.1	GCF_900236545.1	NA	2013	NA	NORWAY	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2014_IRAQ_GCF_002191315.1	GCF_002191315.1	NA	2014	NA	IRAQ	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2014_IRAQ_GCF_002191335.1	GCF_002191335.1	NA	2014	NA	IRAQ	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2014_ISRAEL_GCF_900236365.1	GCF_900236365.1	NA	2014	NA	ISRAEL	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2014_SOMALIA_GCF_002191435.1	GCF_002191435.1	NA	2014	NA	SOMALIA	NA	12	NA	African	yes	no	no	NA	BAPS2
2014_SOMALIA_GCF_002191935.1	GCF_002191935.1	NA	2014	HUMAN	SOMALIA	NA	12	NA	African	no	yes	no	NA	BAPS2
2014_TURKEY_GCF_002191615.1	GCF_002191615.1	NA	2014	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2014_TURKEY_GCF_002191635.1	GCF_002191635.1	NA	2014	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2014_TURKEY_GCF_002191655.1	GCF_002191655.1	NA	2014	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2014_TURKEY_GCF_002191675.1	GCF_002191675.1	NA	2014	NA	TURKEY	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
2014_TURKEY_GCF_002191735.1	GCF_002191735.1	NA	2014	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2014_TURKEY_GCF_002191775.1	GCF_002191775.1	NA	2014	NA	TURKEY	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
