# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 05 11:23:39 EST 2022 [seed=1641399818326]
# -threads 32 ST11BeastTest.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
54000	-28615.972441884558	-510.09219579695093	-28105.880246087607	2373.393275936954	-356.39327593695407	7726.561765892453	165.9992382097582	0.889392893359457	1.2971040412465291	0.914932263343865	0.8008897466730464	1.3389315323739073	0.7587495230031955	21.407537407987213	1.635548498768317E-4	1.6355484987683172E-4	-28105.880246087607	0.0	-303.0072739878467
55000	-28605.928249095203	-520.5894845982737	-28085.33876449693	2348.42248121001	-331.4224812100101	7646.879885642446	142.23142686799346	0.8872758128336915	1.2992211217722944	0.9115543565355775	0.8008897466730464	1.3423094391821948	0.7587495230031955	29.30753446530452	1.6583899909583587E-4	1.6583899909583587E-4	-28085.33876449693	0.0	-321.4558281137662
56000	-28578.770608307033	-512.2904948963783	-28066.480113410656	2366.378789330269	-349.3787893302688	7664.728713745576	137.7310301477358	0.887489114853295	1.3189350890435354	0.9074815979545148	0.7840086979575529	1.345715876123258	0.7563696240678442	26.25608125809719	1.653135043615803E-4	1.6531350436158016E-4	-28066.480113410656	0.0	-323.7639618630668
57000	-28563.308505479734	-513.032466644085	-28050.276038835647	2254.9078081246494	-237.90780812464936	7414.910717634857	140.94792127767673	0.8882005641856983	1.3260116121078387	0.901619895311428	0.7723176371043667	1.3554806672228241	0.7563696240678442	28.358670542155505	1.7283170572755682E-4	1.7283170572755682E-4	-28050.276038835647	0.0	-317.03061000507415
58000	-28559.738924293582	-508.8902380880096	-28050.848686205572	2205.400808344282	-188.4008083442818	7387.3483387779925	147.89464383825597	0.8882005641856983	1.3260116121078387	0.9148632111125051	0.7527184951512556	1.3554806672228241	0.7627254502198784	25.608570694595493	1.6796378788466512E-4	1.6796378788466523E-4	-28050.848686205572	0.0	-311.4950061574006
59000	-28563.043573340823	-517.0565045064669	-28045.987068834354	2277.7329277590675	-260.7329277590675	7582.280038522357	155.77411723797127	0.8882005641856983	1.3350863684016785	0.9123370346181445	0.7527184951512556	1.3489320874233448	0.7627254502198784	26.797475936224583	1.6912525792424542E-4	1.691252579242454E-4	-28045.987068834354	0.0	-309.37201758227127
60000	-28548.29948818682	-517.1108159832158	-28031.188672203607	2202.9584125773795	-185.95841257737948	7325.134663971113	132.55732694289486	0.8815245426707854	1.3373792345827131	0.9196452506922537	0.7504402302278728	1.3625620113560766	0.7484487304702985	29.07508513610595	1.6755955796136297E-4	1.6755955796136286E-4	-28031.188672203607	0.0	-328.13025886589446
61000	-28541.606040285435	-517.0739238066237	-28024.53211647881	2258.77623067972	-241.7762306797199	7466.113360815811	146.198927520786	0.8908905549336529	1.335733530678242	0.9102792384293862	0.7504402302278728	1.3642077152605476	0.7484487304702985	28.0451858816912	1.6736485561556977E-4	1.6736485561556977E-4	-28024.53211647881	0.0	-316.4995088067106
62000	-28539.06759801579	-508.6891229573032	-28030.378475058485	2215.8843822326394	-198.88438223263938	7373.681566976475	149.7743149727921	0.9128797936334057	1.331334908929252	0.9075489597658102	0.7298792325282264	1.372135660640327	0.7462214445029787	25.155140481266667	1.7120625319681822E-4	1.712062531968182E-4	-28030.378475058485	0.0	-310.288980775733
63000	-28527.161811972852	-504.7788353553095	-28022.382976617544	2190.9090205321627	-173.90902053216269	7300.452894677703	146.57186358871616	0.9215697138796239	1.3374015209270114	0.9119546626261942	0.7195994429900208	1.3627411661059792	0.7467334934711708	23.221620392180682	1.7566313517482625E-4	1.7566313517482628E-4	-28022.382976617544	0.0	-313.41034473733686
64000	-28510.950613083267	-529.3950520331525	-27981.555561050114	2355.0227615394374	-338.0227615394374	7690.872468414265	149.17429401760677	0.9244328401724592	1.3439149035809148	0.9125974379245284	0.7075170604779335	1.3701770195875065	0.7413607382566576	33.04001028307888	1.6509485731156705E-4	1.6509485731156697E-4	-27981.555561050114	0.0	-315.85712105549743
65000	-28501.166847286066	-517.7865492264543	-27983.380298059612	2393.0973801680916	-376.0973801680916	7751.585459097993	156.72480870832806	0.9272115197772295	1.3448195170530133	0.9098187583197581	0.6969786299428948	1.374809461049733	0.7463621138573713	27.628840927745312	1.603740223311819E-4	1.6037402233118187E-4	-27983.380298059612	0.0	-307.56545014226646
66000	-28492.353138833398	-506.84260931065285	-27985.510529522744	2262.3214665883993	-245.3214665883993	7497.702957498675	137.08648533508935	0.9396176510821322	1.3514512771696008	0.9102903560514473	0.6809612866440095	1.3839411745096044	0.7337382545432057	22.7680960848216	1.6126656750799676E-4	1.612665675079968E-4	-27985.510529522744	0.0	-325.9959220727347
67000	-28484.101652396523	-516.931579533395	-27967.170072863126	2452.358808551581	-435.3588085515812	7972.109671382443	156.68466119986465	0.9427226584128905	1.3514512771696008	0.9113999854973698	0.6748494786256362	1.3900529825279777	0.729523617766525	24.32461886955722	1.6396604837520606E-4	1.6396604837520608E-4	-27967.170072863126	0.0	-313.2980202455377
